                    STNAME                                         CTYNAME  BIRTHS2023  POPESTIMATE2023  CRUDE_BIRTHRATE_2023
0                  Alabama                                         Alabama       58251          5108468             11.402832
1                  Alabama                                  Autauga County         714            60342             11.832554
2                  Alabama                                  Baldwin County        2531           253507              9.983945
3                  Alabama                                  Barbour County         267            24585             10.860281
4                  Alabama                                     Bibb County         240            21868             10.974941
5                  Alabama                                   Blount County         698            59816             11.669119
6                  Alabama                                  Bullock County         102             9897             10.306153
7                  Alabama                                   Butler County         212            18382             11.533021
8                  Alabama                                  Calhoun County        1346           116429             11.560694
9                  Alabama                                 Chambers County         398            34079             11.678746
10                 Alabama                                 Cherokee County         230            25666              8.961272
11                 Alabama                                  Chilton County         548            46431              11.80246
12                 Alabama                                  Choctaw County         108            12252              8.814887
13                 Alabama                                   Clarke County         293            22337             13.117249
14                 Alabama                                     Clay County         159            14111             11.267805
15                 Alabama                                 Cleburne County         177            15639             11.317859
16                 Alabama                                   Coffee County         676            55643             12.148878
17                 Alabama                                  Colbert County         636            58361             10.897689
18                 Alabama                                  Conecuh County         134            11174             11.992125
19                 Alabama                                    Coosa County          89            10268              8.667705
20                 Alabama                                Covington County         418            37952             11.013912
21                 Alabama                                 Crenshaw County         157            13101             11.983818
22                 Alabama                                  Cullman County        1015            92016              11.03069
23                 Alabama                                     Dale County         692            49871               13.8758
24                 Alabama                                   Dallas County         428            36165             11.834647
25                 Alabama                                   DeKalb County         835            72569             11.506291
26                 Alabama                                   Elmore County         935            90441             10.338232
27                 Alabama                                 Escambia County         428            36558             11.707424
28                 Alabama                                   Etowah County        1170           103241             11.332707
29                 Alabama                                  Fayette County         180            15967             11.273251
30                 Alabama                                 Franklin County         430            31802             13.521162
31                 Alabama                                   Geneva County         294            26988             10.893731
32                 Alabama                                   Greene County          84             7341             11.442583
33                 Alabama                                     Hale County         213            14888             14.306824
34                 Alabama                                    Henry County         173            17899              9.665344
35                 Alabama                                  Houston County        1306           108462             12.041084
36                 Alabama                                  Jackson County         549            53467             10.268016
37                 Alabama                                Jefferson County        7967           662895             12.018495
38                 Alabama                                    Lamar County         155            13661             11.346168
39                 Alabama                               Lauderdale County         948            96814              9.791972
40                 Alabama                                 Lawrence County         386            33502               11.5217
41                 Alabama                                      Lee County        1899           183215             10.364872
42                 Alabama                                Limestone County        1204           114654              10.50116
43                 Alabama                                  Lowndes County         120             9717             12.349491
44                 Alabama                                    Macon County         162            18370              8.818726
45                 Alabama                                  Madison County        4470           412600             10.833737
46                 Alabama                                  Marengo County         220            18684             11.774781
47                 Alabama                                   Marion County         309            29244              10.56627
48                 Alabama                                 Marshall County        1535           100756             15.234825
49                 Alabama                                   Mobile County        5075           411640             12.328734
50                 Alabama                                   Monroe County         231            19229             12.013105
51                 Alabama                               Montgomery County        3003           224980             13.347853
52                 Alabama                                   Morgan County        1461           125133             11.675577
53                 Alabama                                    Perry County          89             7738              11.50168
54                 Alabama                                  Pickens County         186            18688              9.952911
55                 Alabama                                     Pike County         360            33137             10.863989
56                 Alabama                                 Randolph County         249            22786             10.927763
57                 Alabama                                  Russell County         688            58744             11.711834
58                 Alabama                                St. Clair County        1032            95552             10.800402
59                 Alabama                                   Shelby County        2390           233000             10.257511
60                 Alabama                                   Sumter County         114            11727              9.721156
61                 Alabama                                Talladega County         871            81132             10.735591
62                 Alabama                               Tallapoosa County         392            40677              9.636896
63                 Alabama                               Tuscaloosa County        2510           237373             10.574075
64                 Alabama                                   Walker County         808            64728             12.483006
65                 Alabama                               Washington County         187            15022             12.448409
66                 Alabama                                   Wilcox County         116             9944             11.665326
67                 Alabama                                  Winston County         249            23611             10.545932
68                  Alaska                                          Alaska        9266           733406             12.634203
69                  Alaska                          Aleutians East Borough          17             3461              4.911875
70                  Alaska                      Aleutians West Census Area          25             5160              4.844961
71                  Alaska                          Anchorage Municipality        3573           286075             12.489732
72                  Alaska                              Bethel Census Area         389            18224             21.345478
73                  Alaska                             Bristol Bay Borough          11              844             13.033175
74                  Alaska                             Chugach Census Area          62             6769              9.159403
75                  Alaska                        Copper River Census Area          32             2674             11.967091
76                  Alaska                                  Denali Borough          20             1584             12.626263
77                  Alaska                          Dillingham Census Area          75             4607             16.279575
78                  Alaska                    Fairbanks North Star Borough        1427            94840             15.046394
79                  Alaska                                  Haines Borough          24             2070             11.594203
80                  Alaska                       Hoonah-Angoon Census Area          18             2262               7.95756
81                  Alaska                         Juneau City and Borough         284            31555              9.000158
82                  Alaska                         Kenai Peninsula Borough         636            61223             10.388253
83                  Alaska                       Ketchikan Gateway Borough         119            13738              8.662105
84                  Alaska                           Kodiak Island Borough         158            12565             12.574612
85                  Alaska                            Kusilvak Census Area         216             8001             26.996625
86                  Alaska                      Lake and Peninsula Borough          16             1331             12.021037
87                  Alaska                       Matanuska-Susitna Borough        1370           115239             11.888336
88                  Alaska                                Nome Census Area         169             9763             17.310253
89                  Alaska                             North Slope Borough         126            10603             11.883429
90                  Alaska                        Northwest Arctic Borough         141             7361             19.155006
91                  Alaska                              Petersburg Borough          25             3427               7.29501
92                  Alaska               Prince of Wales-Hyder Census Area          73             5696             12.816011
93                  Alaska                          Sitka City and Borough          76             8282              9.176527
94                  Alaska                            Skagway Municipality           9             1095              8.219178
95                  Alaska                 Southeast Fairbanks Census Area          98             7077             13.847676
96                  Alaska                       Wrangell City and Borough          19             2064              9.205426
97                  Alaska                        Yakutat City and Borough           3              687              4.366812
98                  Alaska                       Yukon-Koyukuk Census Area          55             5129             10.723338
99                 Arizona                                         Arizona       78494          7431344             10.562558
100                Arizona                                   Apache County         724            65036             11.132296
101                Arizona                                  Cochise County        1246           124640              9.996791
102                Arizona                                 Coconino County        1315           144472               9.10211
103                Arizona                                     Gila County         453            54003              8.388423
104                Arizona                                   Graham County         493            39525             12.473118
105                Arizona                                 Greenlee County         118             9369             12.594727
106                Arizona                                   La Paz County         165            16710              9.874327
107                Arizona                                 Maricopa County       50795          4585871             11.076413
108                Arizona                                   Mohave County        1736           223682              7.761018
109                Arizona                                   Navajo County        1228           109175             11.247996
110                Arizona                                     Pima County       10006          1063162              9.411548
111                Arizona                                    Pinal County        5015           484239             10.356456
112                Arizona                               Santa Cruz County         554            49158             11.269783
113                Arizona                                  Yavapai County        1777           249081              7.134225
114                Arizona                                     Yuma County        2869           213221             13.455523
115               Arkansas                                        Arkansas       35566          3067732             11.593581
116               Arkansas                                 Arkansas County         186            16307             11.406145
117               Arkansas                                   Ashley County         199            18262             10.896944
118               Arkansas                                   Baxter County         349            42875              8.139942
119               Arkansas                                   Benton County        3908           311013             12.565391
120               Arkansas                                    Boone County         406            38530             10.537244
121               Arkansas                                  Bradley County         118            10104             11.678543
122               Arkansas                                  Calhoun County          51             4641             10.989011
123               Arkansas                                  Carroll County         326            28814             11.313945
124               Arkansas                                   Chicot County          88             9538              9.226253
125               Arkansas                                    Clark County         239            21274             11.234371
126               Arkansas                                     Clay County         157            14201             11.055559
127               Arkansas                                 Cleburne County         223            25445              8.764001
128               Arkansas                                Cleveland County          82             7378             11.114123
129               Arkansas                                 Columbia County         256            22150             11.557562
130               Arkansas                                   Conway County         228            21077             10.817479
131               Arkansas                                Craighead County        1540           113993             13.509601
132               Arkansas                                 Crawford County         727            61891             11.746457
133               Arkansas                               Crittenden County         570            47139             12.091898
134               Arkansas                                    Cross County         183            16420             11.144945
135               Arkansas                                   Dallas County          57             6185              9.215845
136               Arkansas                                    Desha County         113            10479             10.783472
137               Arkansas                                     Drew County         193            16945              11.38979
138               Arkansas                                 Faulkner County        1468           129951             11.296566
139               Arkansas                                 Franklin County         188            17468             10.762537
140               Arkansas                                   Fulton County         117            12421              9.419531
141               Arkansas                                  Garland County         970            99784              9.720997
142               Arkansas                                    Grant County         184            18383             10.009248
143               Arkansas                                   Greene County         526            46743             11.253022
144               Arkansas                                Hempstead County         214            19343             11.063434
145               Arkansas                               Hot Spring County         304            33258              9.140658
146               Arkansas                                   Howard County         139            12533              11.09072
147               Arkansas                             Independence County         474            38320              12.36952
148               Arkansas                                    Izard County         113            14169              7.975157
149               Arkansas                                  Jackson County         157            16784              9.354147
150               Arkansas                                Jefferson County         723            63661             11.357032
151               Arkansas                                  Johnson County         296            26129             11.328409
152               Arkansas                                Lafayette County          42             6095              6.890894
153               Arkansas                                 Lawrence County         192            16318             11.766148
154               Arkansas                                      Lee County          82             8201              9.998781
155               Arkansas                                  Lincoln County         100            12898               7.75314
156               Arkansas                             Little River County          95            11805              8.047438
157               Arkansas                                    Logan County         260            21400             12.149533
158               Arkansas                                   Lonoke County         886            75944             11.666491
159               Arkansas                                  Madison County         217            17775             12.208158
160               Arkansas                                   Marion County         137            17514              7.822314
161               Arkansas                                   Miller County         356            42415              8.393257
162               Arkansas                              Mississippi County         526            38663             13.604738
163               Arkansas                                   Monroe County          86             6512             13.206388
164               Arkansas                               Montgomery County          80             8620              9.280742
165               Arkansas                                   Nevada County          75             8120              9.236453
166               Arkansas                                   Newton County          67             7071              9.475322
167               Arkansas                                 Ouachita County         247            21793             11.333915
168               Arkansas                                    Perry County          99            10184              9.721131
169               Arkansas                                 Phillips County         208            14961             13.902814
170               Arkansas                                     Pike County         113            10208             11.069749
171               Arkansas                                 Poinsett County         292            22397              13.03746
172               Arkansas                                     Polk County         202            19436             10.393085
173               Arkansas                                     Pope County         729            64593             11.286053
174               Arkansas                                  Prairie County          79             8036              9.830762
